Track,Global_Corner_ID,driver_number,Entry_Speed,Apex_Speed,Exit_Speed,Speed_Delta,Braking_Pct_Before_Apex,Trail_Braking_Pct,Throttle_App_Pct_After_Apex,Coasting_Pct,Braking_Time_Pct,Average_Throttle,Min_Gear,Corner_Distance_m,Average_Speed
Monza,104,63,122,122,155,0,0.0,0.0,1.0,0.0,0.0,66.25,3,539.4786291043894,133.5
Monza,104,77,125,125,135,0,0.0,0.0,1.0,0.0,0.0,58.5,4,415.9729651410886,129.75
Monza,104,81,121,121,143,0,0.0,0.0,1.0,0.0,0.0,55.0,3,442.2687092275946,129.6
Monza,105,1,261,199,219,62,0.7680261401330899,0.4930790218956542,0.4299578383171831,0.0,0.4,57.9,5,1962.686416955357,219.8
Monza,105,2,260,192,212,68,0.7931146854921877,0.7931146854921877,0.7436943887900845,0.07756732371904784,0.35714285714285715,33.07142857142857,5,2117.94456777506,210.35714285714286
Monza,105,4,244,198,214,46,0.12648989051575824,0.12648989051575824,0.856795860359326,0.4408902119244874,0.25,40.5,5,1414.1505384235827,213.83333333333334
Monza,105,10,233,185,219,48,0.5368910924608619,0.5368910924608619,0.7588785253734205,0.054312533585945635,0.3076923076923077,43.23076923076923,5,1907.0378818894692,202.3846153846154
Monza,105,11,261,197,217,64,0.5966514818595918,0.5301828604061932,0.5482388184122001,0.0,0.36363636363636365,42.81818181818182,5,2056.6070169252416,216.45454545454547
Monza,105,14,233,188,219,45,0.80446834988121,0.80446834988121,0.6158009132838084,0.0,0.38461538461538464,45.46153846153846,5,1835.4137475402586,204.92307692307693
Monza,105,16,265,195,223,70,0.4690123177984456,0.0,0.5423413509945578,0.15277967893423225,0.25,48.5,5,1975.5657714147699,218.25
Monza,105,18,234,178,213,56,0.7766496939552877,0.7766496939552877,0.5340738420456358,0.06026614584360165,0.38461538461538464,36.38461538461539,5,2100.0552778419624,199.76923076923077
Monza,105,20,254,187,207,67,0.8225288884394636,0.7013134786353047,0.7003509229934385,0.0,0.5,54.583333333333336,5,1606.2726939758743,209.91666666666666
Monza,105,22,241,193,220,48,0.5968981298630838,0.5968981298630838,0.5162879426670507,0.08791909213882239,0.2727272727272727,52.45454545454545,5,1811.947047442287,211.63636363636363
Monza,105,23,263,196,208,67,0.41446402604118887,0.3375583056149135,1.0,0.1205404933192879,0.3076923076923077,35.15384615384615,5,1683.5909037853116,214.69230769230768
Monza,105,24,239,182,217,57,0.7863839855086745,0.7863839855086745,0.6539365229880048,0.0,0.5,45.0,5,1871.333157866344,206.0
Monza,105,27,239,195,212,44,0.6088094982370783,0.6088094982370783,1.0,0.09009063369898662,0.3,44.4,5,1752.4189536280874,208.4
Monza,105,31,238,184,204,54,0.8829825283915728,0.8829825283915728,0.6460125225258316,0.0,0.46153846153846156,39.53846153846154,5,1753.9197067782793,202.23076923076923
Monza,105,40,256,186,224,70,0.7483386486269511,0.7483386486269511,0.7527848192823705,0.04951183381296952,0.38461538461538464,42.53846153846154,5,1980.97285292272,211.0
