Track,Driver_Number,Corner_ID,Apex_Speed,Exit_Speed,Speed_Delta,Corner_Distance_m,Max_Curvature,Braking_Dist_To_Apex_m,Trail_Braking_Pct,Throttle_App_From_Apex_m,Coasting_Pct,Average_Throttle,Minimum_Gear
Monza,81,2,274,304,0,2518.442327230161,0.09134557360985401,0.0,0.0,0.0,0.0,99.0,7
Monza,81,3,113,143,54,1144.9185242221574,0.22893601427257246,0.0,28.57142857142857,0.0,7.142857142857142,26.428571428571427,3
Monza,81,4,204,224,55,1833.6706841580963,0.19524830983493352,0.0,23.076923076923077,0.0,15.384615384615385,48.53846153846154,5
Monza,81,5,189,196,49,989.4094335969821,0.17805891715373445,0.0,22.22222222222222,0.0,22.22222222222222,32.22222222222222,5
Monza,81,6,196,260,46,2882.813844245269,2.212742226888686,0.0,17.647058823529413,0.0,5.88235294117647,63.05882352941177,5
Monza,81,7,213,279,44,3609.2958042239334,1.988524378499236,0.0,8.695652173913043,0.0,13.043478260869565,69.21739130434783,5
Singapore,1,1,85,107,136,2413.006840173652,1.8070415875133339,75.69015788066463,42.30769230769231,57.4282160614448,7.6923076923076925,24.653846153846153,3
Singapore,1,3,153,173,98,1658.0740368645966,0.2536560348984167,127.61269529321908,46.15384615384615,0.0,0.0,47.38461538461539,4
Singapore,1,5,114,119,90,840.2359949361453,2.4049363415022764,0.0,45.45454545454545,0.0,9.090909090909092,16.818181818181817,3
Singapore,1,6,75,80,78,621.0000990955959,1.5045205606465597,123.01911133256726,50.0,0.0,16.666666666666664,6.25,3
Singapore,1,7,130,146,47,1232.0629886173629,2.477410325186608,0.0,27.27272727272727,0.0,9.090909090909092,44.63636363636363,4
Singapore,1,8,111,111,92,1926.165907225928,0.3148411007525441,0.0,44.44444444444444,0.0,0.0,30.944444444444443,3
Singapore,1,9,125,200,0,1029.8629205075667,0.4420333080910678,0.0,0.0,0.0,0.0,95.11111111111111,3
Singapore,1,10,69,77,79,854.4155762862174,0.4508776348329642,192.6659027920614,50.0,0.0,16.666666666666664,10.083333333333334,2
Singapore,1,11,87,167,73,1339.317411329299,0.3579955572081501,196.1399767415205,29.411764705882355,0.0,5.88235294117647,42.529411764705884,3
Singapore,1,12,237,259,0,1040.174404884514,0.11300210182199756,0.0,0.0,0.0,0.0,100.0,6
Singapore,1,13,108,161,58,1523.2820782279305,0.3079958528673561,185.7197443287223,27.77777777777778,0.0,0.0,37.888888888888886,3
Singapore,1,14,214,244,33,1934.0704841920306,0.2522933791044946,0.0,8.333333333333332,0.0,0.0,81.75,5
Singapore,2,1,87,114,159,2347.698860311459,0.28241120408732123,197.31271545613345,44.0,0.0,12.0,19.56,3
Singapore,2,3,148,159,106,1363.0261551022777,2.8904640064990055,0.0,50.0,0.0,10.0,30.5,4
Singapore,2,5,112,134,141,1292.479949655375,2.6738467068791385,0.0,41.66666666666667,0.0,8.333333333333332,25.0,3
Singapore,2,6,74,94,37,596.1123701742799,0.2742045922061982,176.62959202817729,41.66666666666667,0.0,8.333333333333332,13.333333333333334,3
Singapore,2,7,125,161,45,1418.2915304771486,2.323947607757091,0.0,16.666666666666664,0.0,16.666666666666664,57.833333333333336,4
Singapore,2,8,106,109,76,1850.229492344526,0.2805735990186108,85.90692637965913,35.0,0.0,20.0,15.65,3
Singapore,2,9,141,178,0,658.6507706638622,0.2500722480153973,0.0,0.0,0.0,0.0,74.5,3
Singapore,2,10,67,82,109,674.8581383565761,0.9575889779203873,190.25669834384462,46.15384615384615,0.0,23.076923076923077,8.384615384615385,2
Singapore,2,11,91,102,47,693.5016913078653,1.0508285200463683,161.06303883849614,40.0,0.0,10.0,11.5,3
Singapore,2,12,221,254,0,1067.6064972924141,0.1425439970355456,0.0,0.0,0.0,0.0,100.0,6
Singapore,2,13,109,168,31,1665.5697332935233,0.4782489197745381,0.0,22.22222222222222,0.0,5.555555555555555,34.166666666666664,3
Singapore,2,14,197,231,42,1633.190114572375,1.4427134837198563,0.0,23.076923076923077,0.0,0.0,64.0,5
Singapore,4,1,87,184,138,2886.480365427305,1.4775007050546147,130.2688833435741,42.42424242424242,0.0,6.0606060606060606,33.878787878787875,2
Singapore,4,2,155,196,95,2099.016328869132,1.5154677162079488,0.0,14.285714285714285,0.0,7.142857142857142,67.14285714285714,4
Singapore,4,4,117,164,48,1122.2360888229487,0.24043546679922168,0.0,36.36363636363637,0.0,18.181818181818183,35.27272727272727,3
Singapore,4,5,77,85,61,635.3100146377437,0.33068957635540897,199.9114477568437,54.54545454545454,0.0,9.090909090909092,10.090909090909092,2
Singapore,4,6,128,182,57,1621.6268666679862,0.2352781253166789,151.49974458566066,50.0,0.0,0.0,35.642857142857146,3
Singapore,4,7,111,180,129,3002.6358768478167,0.2597070155929297,0.0,25.0,0.0,10.714285714285714,45.107142857142854,3
Singapore,4,8,64,76,103,802.5711568828119,0.3601155835013705,184.78549304199987,53.84615384615385,0.0,7.6923076923076925,10.0,2
Singapore,4,9,90,97,173,1119.5032986623046,1.1615867780502505,186.82798722647567,66.66666666666666,0.0,8.333333333333332,7.75,2
Singapore,4,10,237,252,0,876.5927250732348,0.12732281408800472,0.0,0.0,0.0,0.0,99.0,6
Singapore,4,11,112,181,20,1502.6733312676224,0.3394092947631762,0.0,23.52941176470588,0.0,11.76470588235294,41.94117647058823,3
